,Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG,Cap,GP%,Cap%
0,Michael Stewart,TOR,2000, PF,3200000,25,208.28,104.32616,42,1.4,2.2,0.1,-7.5,0.086,0.2,0.094,0.432,0.024,45-37,0.549,82,34000000,0.5121951219512195,0.09411764705882353
1,Vince Carter,TOR,2000, G,2267000,23,200.66,97.52228,82,25.7,5.8,3.9,3.6,0.052,0.12,0.299,0.543,0.195,45-37,0.549,82,34000000,1.0,0.0666764705882353
2,Dell Curry,TOR,2000, G,2100000,36,195.58,92.98636,67,7.6,1.5,1.3,-1.3,0.011,0.099,0.207,0.542,0.141,45-37,0.549,82,34000000,0.8170731707317073,0.061764705882352944
4,Michael Curry,DET,2000, SF,2000000,31,195.58,102.965384,82,6.2,1.3,1.1,-0.7,0.016,0.06,0.146,0.56,0.091,42-40,0.512,82,34000000,1.0,0.058823529411764705
5,Jerry Stackhouse,DET,2000, SF,4781000,25,198.12,98.883056,82,23.6,3.8,4.5,0.0,0.043,0.072,0.289,0.545,0.2,42-40,0.512,82,34000000,1.0,0.14061764705882354
6,Loy Vaught,DET,2000, F,4810000,32,205.74,108.86208,43,1.7,2.1,0.3,-1.5,0.096,0.257,0.157,0.39,0.064,42-40,0.512,82,34000000,0.524390243902439,0.14147058823529413
7,Lindsey Hunter,DET,2000, SG,2350000,29,187.96,88.45044,82,12.7,3.0,4.0,1.9,0.014,0.085,0.165,0.543,0.171,42-40,0.512,82,34000000,1.0,0.06911764705882353
8,Eric Montross,DET,2000, C,2000000,28,213.36,122.46984,51,0.8,1.4,0.1,-4.6,0.062,0.19,0.111,0.332,0.032,42-40,0.512,82,34000000,0.6219512195121951,0.058823529411764705
9,Mike Bibby,VAN,2000, PG,3092000,22,187.96,86.18248,82,14.5,3.7,8.1,-6.4,0.028,0.089,0.2,0.521,0.35,22-60,0.268,82,34000000,1.0,0.09094117647058823
10,Michael Dickerson,VAN,2000, G,1224000,25,195.58,86.18248,82,18.2,3.4,2.5,-6.1,0.03,0.077,0.23,0.53,0.121,22-60,0.268,82,34000000,1.0,0.036
11,Othella Harrington,VAN,2000, PF,2025000,26,205.74,106.59412,82,13.1,6.9,1.2,-7.5,0.087,0.162,0.201,0.56,0.063,22-60,0.268,82,34000000,1.0,0.05955882352941176
12,Shareef Abdur-Rahim,VAN,2000, PF,9000000,23,205.74,104.32616,82,20.3,10.1,3.3,-5.3,0.081,0.226,0.249,0.547,0.152,22-60,0.268,82,34000000,1.0,0.2647058823529412
13,Grant Long,VAN,2000, F,2000000,34,205.74,112.490816,42,4.8,5.6,1.0,-1.1,0.111,0.197,0.123,0.512,0.076,22-60,0.268,82,34000000,0.5121951219512195,0.058823529411764705
14,Brent Price,VAN,2000, G,2944000,31,185.42,83.91452,41,3.4,0.9,1.7,-3.7,0.022,0.083,0.194,0.518,0.271,22-60,0.268,82,34000000,0.5,0.08658823529411765
15,Bryant Reeves,VAN,2000, C,8666000,27,213.36,124.7378,69,8.9,5.7,1.2,-5.8,0.082,0.179,0.193,0.481,0.075,22-60,0.268,82,34000000,0.8414634146341463,0.25488235294117645
16,Michael Olowokandi,LAC,2000, C,3456000,25,213.36,122.016248,80,9.8,8.2,0.5,-14.1,0.083,0.214,0.183,0.467,0.026,15-67,0.183,82,34000000,0.975609756097561,0.10164705882352941
17,Lamar Odom,LAC,2000, PF,2445000,20,208.28,99.79024,76,16.6,7.8,4.2,-8.2,0.063,0.18,0.234,0.521,0.199,15-67,0.183,82,34000000,0.926829268292683,0.07191176470588236
18,Tyrone Nesby,LAC,2000, F,2716000,24,198.12,102.0582,73,13.3,3.8,1.7,-13.3,0.037,0.098,0.212,0.487,0.094,15-67,0.183,82,34000000,0.8902439024390244,0.07988235294117647
19,Eric Piatkowski,LAC,2000, SG,2000000,29,200.66,97.52228,75,8.7,3.0,1.1,-13.9,0.045,0.1,0.173,0.53,0.079,15-67,0.183,82,34000000,0.9146341463414634,0.058823529411764705
20,Brian Skinner,LAC,2000, PF,843000,24,205.74,115.66596,33,5.4,6.1,0.3,-6.9,0.093,0.2,0.115,0.55,0.024,15-67,0.183,82,34000000,0.4024390243902439,0.024794117647058824
21,Mookie Blaylock,GSW,2000, G,4200000,33,185.42,83.91452,73,11.3,3.7,6.7,-9.9,0.022,0.097,0.175,0.468,0.317,19-63,0.232,82,34000000,0.8902439024390244,0.12352941176470589
22,Larry Hughes,GSW,2000, SG,1722000,21,195.58,83.91452,82,15.0,4.3,2.5,-8.6,0.049,0.116,0.274,0.467,0.162,19-63,0.232,82,34000000,1.0,0.05064705882352941
23,Vonteego Cummings,GSW,2000, PG,2600000,24,190.5,86.18248,75,9.4,2.5,3.3,-7.6,0.032,0.082,0.204,0.484,0.232,19-63,0.232,82,34000000,0.9146341463414634,0.07647058823529412
24,Donyell Marshall,GSW,2000, PF,5250000,27,205.74,104.32616,64,14.2,10.0,2.6,-10.4,0.09,0.231,0.22,0.478,0.137,19-63,0.232,82,34000000,0.7804878048780488,0.15441176470588236
25,Jason Caffey,GSW,2000, F,3937000,27,203.2,116.119552,71,12.0,6.8,1.7,-10.1,0.088,0.156,0.195,0.515,0.09,19-63,0.232,82,34000000,0.8658536585365854,0.11579411764705883
26,Erick Dampier,GSW,2000, C,4988000,24,210.82,120.20188,21,8.0,6.4,0.9,-10.1,0.093,0.182,0.19,0.427,0.064,19-63,0.232,82,34000000,0.25609756097560976,0.14670588235294119
27,Antawn Jamison,GSW,2000, PF,2503000,24,205.74,101.151016,43,19.6,8.3,2.1,-8.3,0.108,0.131,0.257,0.496,0.102,19-63,0.232,82,34000000,0.524390243902439,0.07361764705882352
28,Chris Mills,GSW,2000, SF,4200000,30,200.66,97.975872,20,16.1,6.2,2.4,-6.3,0.071,0.138,0.229,0.489,0.121,19-63,0.232,82,34000000,0.24390243902439024,0.12352941176470589
29,Nick Van Exel,DEN,2000, PG,8354000,28,185.42,86.18248,79,16.1,3.9,9.0,-0.9,0.012,0.103,0.227,0.483,0.38,35-47,0.427,82,34000000,0.9634146341463414,0.24570588235294116
