Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG
Michael Stewart,TOR,2000, PF,3200000,25,208.28,104.32616,42,1.4,2.2,0.1,-7.5,0.086,0.2,0.094,0.432,0.024,45-37,0.549,82
Vince Carter,TOR,2000, G,2267000,23,200.66,97.52228,82,25.7,5.8,3.9,3.6,0.052,0.12,0.299,0.543,0.195,45-37,0.549,82
Dell Curry,TOR,2000, G,2100000,36,195.58,92.98636,67,7.6,1.5,1.3,-1.3,0.011,0.099,0.207,0.542,0.141,45-37,0.549,82
Aleksandar Radojevic,TOR,2000, C,1325000,23,220.98,111.13004,3,2.3,2.7,0.3,-22.1,0.061,0.231,0.228,0.363,0.077,45-37,0.549,82
Michael Curry,DET,2000, SF,2000000,31,195.58,102.965384,82,6.2,1.3,1.1,-0.7,0.016,0.06,0.146,0.56,0.091,42-40,0.512,82
Jerry Stackhouse,DET,2000, SF,4781000,25,198.12,98.883056,82,23.6,3.8,4.5,0,0.043,0.072,0.289,0.545,0.2,42-40,0.512,82
Loy Vaught,DET,2000, F,4810000,32,205.74,108.86208,43,1.7,2.1,0.3,-1.5,0.096,0.257,0.157,0.39,0.064,42-40,0.512,82
Lindsey Hunter,DET,2000, SG,2350000,29,187.96,88.45044,82,12.7,3,4,1.9,0.014,0.085,0.165,0.543,0.171,42-40,0.512,82
Eric Montross,DET,2000, C,2000000,28,213.36,122.46984,51,0.8,1.4,0.1,-4.6,0.062,0.19,0.111,0.332,0.032,42-40,0.512,82
Mike Bibby,VAN,2000, PG,3092000,22,187.96,86.18248,82,14.5,3.7,8.1,-6.4,0.028,0.089,0.2,0.521,0.35,22-60,0.268,82
Michael Dickerson,VAN,2000, G,1224000,25,195.58,86.18248,82,18.2,3.4,2.5,-6.1,0.03,0.077,0.23,0.53,0.121,22-60,0.268,82
Othella Harrington,VAN,2000, PF,2025000,26,205.74,106.59412,82,13.1,6.9,1.2,-7.5,0.087,0.162,0.201,0.56,0.063,22-60,0.268,82
Shareef Abdur-Rahim,VAN,2000, PF,9000000,23,205.74,104.32616,82,20.3,10.1,3.3,-5.3,0.081,0.226,0.249,0.547,0.152,22-60,0.268,82
Grant Long,VAN,2000, F,2000000,34,205.74,112.490816,42,4.8,5.6,1,-1.1,0.111,0.197,0.123,0.512,0.076,22-60,0.268,82
Brent Price,VAN,2000, G,2944000,31,185.42,83.91452,41,3.4,0.9,1.7,-3.7,0.022,0.083,0.194,0.518,0.271,22-60,0.268,82
Bryant Reeves,VAN,2000, C,8666000,27,213.36,124.7378,69,8.9,5.7,1.2,-5.8,0.082,0.179,0.193,0.481,0.075,22-60,0.268,82
Michael Olowokandi,LAC,2000, C,3456000,25,213.36,122.016248,80,9.8,8.2,0.5,-14.1,0.083,0.214,0.183,0.467,0.026,15-67,0.183,82
Lamar Odom,LAC,2000, PF,2445000,20,208.28,99.79024,76,16.6,7.8,4.2,-8.2,0.063,0.18,0.234,0.521,0.199,15-67,0.183,82
Tyrone Nesby,LAC,2000, F,2716000,24,198.12,102.0582,73,13.3,3.8,1.7,-13.3,0.037,0.098,0.212,0.487,0.094,15-67,0.183,82
