,player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,position,salary
0,Michael Stewart,TOR,25.0,208.28,104.32616,42,1.4,2.2,0.1,-7.5,0.086,0.2,0.094,0.432,0.024,2000, PF,3200000
1,Michael Curry,DET,31.0,195.58,102.965384,82,6.2,1.3,1.1,-0.7,0.016,0.06,0.146,0.56,0.091,2000, SF,2000000
2,Mike Bibby,VAN,22.0,187.96,86.18248,82,14.5,3.7,8.1,-6.4,0.0279999999999999,0.089,0.2,0.521,0.35,2000, PG,3092000
3,Michael Dickerson,VAN,25.0,195.58,86.18248,82,18.2,3.4,2.5,-6.1,0.03,0.077,0.23,0.53,0.121,2000, G,1224000
4,Michael Olowokandi,LAC,25.0,213.36,122.016248,80,9.8,8.2,0.5,-14.1,0.083,0.214,0.183,0.467,0.026,2000, C,3456000
5,Othella Harrington,VAN,26.0,205.74,106.59412,82,13.1,6.9,1.2,-7.5,0.087,0.162,0.201,0.56,0.063,2000, PF,2025000
6,Mookie Blaylock,GSW,33.0,185.42,83.91452,73,11.3,3.7,6.7,-9.9,0.022,0.0969999999999999,0.175,0.4679999999999999,0.317,2000, G,4200000
7,Nick Van Exel,DEN,28.0,185.42,86.18248,79,16.1,3.9,9.0,-0.9,0.012,0.103,0.2269999999999999,0.483,0.38,2000, PG,8354000
8,P.J. Brown,MIA,30.0,210.82,108.86208,80,9.6,7.5,1.8,9.3,0.115,0.181,0.17,0.516,0.098,2000, PF,5124000
9,Metta World Peace,CHI,20.0,198.12,110.676448,72,12.0,4.3,2.7,-8.6,0.031,0.129,0.215,0.491,0.171,2000, SF,1079000
10,Matt Harpring,ORL,24.0,200.66,104.779752,4,4.0,3.0,2.0,0.3,0.081,0.1169999999999999,0.131,0.3979999999999999,0.178,2000, SF,1163000
11,Jumaine Jones,PHI,21.0,203.2,98.883056,33,1.7,1.2,0.2,1.2,0.109,0.152,0.246,0.432,0.074,2000, SF,684000
12,Juwan Howard,WAS,27.0,205.74,113.398,82,14.9,5.7,3.0,-4.3,0.052,0.1369999999999999,0.222,0.496,0.143,2000, PF,15000000
13,Karl Malone,UTA,36.0,205.74,116.119552,82,25.5,9.5,3.7,7.8,0.074,0.251,0.318,0.5820000000000001,0.1969999999999999,2000, PF,14000000
14,Jonathan Bender,IND,19.0,210.82,91.625584,24,2.7,0.9,0.1,-0.3,0.033,0.126,0.2769999999999999,0.397,0.036,2000, SF,2214000
15,Kenny Anderson,BOS,29.0,185.42,76.203456,82,14.0,2.7,5.1,1.4,0.023,0.079,0.204,0.524,0.253,2000, PG,6680000
