,season,team,record,pct
0,2017,Celtics,25-15,0.625
1,2016,Celtics,48-34,0.585
2,2015,Celtics,40-42,0.488
3,2014,Celtics,25-57,0.305
4,2013,Celtics,41-40,0.506
5,2012,Celtics,39-27,0.591
6,2011,Celtics,56-26,0.683
7,2010,Celtics,50-32,0.61
8,2009,Celtics,62-20,0.756
9,2008,Celtics,66-16,0.805
10,2007,Celtics,24-58,0.293
11,2006,Celtics,33-49,0.402
12,2005,Celtics,45-37,0.549
13,2004,Celtics,36-46,0.439
14,2003,Celtics,44-38,0.537
15,2002,Celtics,49-33,0.598
16,2001,Celtics,36-46,0.439
17,2000,Celtics,35-47,0.427
71,2017,Hawks,23-17,0.575
72,2016,Hawks,48-34,0.585
73,2015,Hawks,60-22,0.732
74,2014,Hawks,38-44,0.463
75,2013,Hawks,44-38,0.537
76,2012,Hawks,40-26,0.606
77,2011,Hawks,44-38,0.537
78,2010,Hawks,53-29,0.646
79,2009,Hawks,47-35,0.573
80,2008,Hawks,37-45,0.451
81,2007,Hawks,30-52,0.366
82,2006,Hawks,26-56,0.317
83,2005,Hawks,13-69,0.159
84,2004,Hawks,28-54,0.341
85,2003,Hawks,35-47,0.427
86,2002,Hawks,33-49,0.402
87,2001,Hawks,25-57,0.305
88,2000,Hawks,28-54,0.341
139,2017,Nets,Sep-33,0.214
140,2016,Nets,21-61,0.256
141,2015,Nets,38-44,0.463
142,2014,Nets,44-38,0.537
143,2013,Nets,49-33,0.598
144,2012,Nets,22-44,0.333
145,2011,Nets,24-58,0.293
146,2010,Nets,Dec-70,0.146
147,2009,Nets,34-48,0.415
148,2008,Nets,34-48,0.415
149,2007,Nets,41-41,0.5
150,2006,Nets,49-33,0.598
151,2005,Nets,42-40,0.512
152,2004,Nets,47-35,0.573
153,2003,Nets,49-33,0.598
154,2002,Nets,52-30,0.634
155,2001,Nets,26-56,0.317
156,2000,Nets,31-51,0.378
180,2017,Hornets,22-21,0.512
181,2016,Hornets,48-34,0.585
182,2015,Hornets,33-49,0.402
183,2014,Bobcats,43-39,0.524
184,2013,Bobcats,21-61,0.256
185,2012,Bobcats,Jul-59,0.106
186,2011,Bobcats,34-48,0.415
187,2010,Bobcats,44-38,0.537
188,2009,Bobcats,35-47,0.427
189,2008,Bobcats,32-50,0.39
190,2007,Bobcats,33-49,0.402
191,2006,Bobcats,26-56,0.317
192,2005,Bobcats,18-64,0.22
193,2002,Hornets,44-38,0.537
194,2001,Hornets,46-36,0.561
195,2000,Hornets,49-33,0.598
207,2017,Bulls,21-23,0.477
208,2016,Bulls,42-40,0.512
209,2015,Bulls,50-32,0.61
210,2014,Bulls,48-34,0.585
211,2013,Bulls,45-37,0.549
212,2012,Bulls,50-16,0.758
213,2011,Bulls,62-20,0.756
214,2010,Bulls,41-41,0.5
215,2009,Bulls,41-41,0.5
216,2008,Bulls,33-49,0.402
217,2007,Bulls,49-33,0.598
218,2006,Bulls,41-41,0.5
