season,team_abbreviation,record,pct
2020,BOS,48-24,0.667
2019,BOS,49-33,0.598
2018,BOS,55-27,0.671
2017,BOS,53-29,0.646
2016,BOS,48-34,0.585
2015,BOS,40-42,0.488
2014,BOS,25-57,0.305
2013,BOS,41-40,0.506
2012,BOS,39-27,0.591
2011,BOS,56-26,0.683
2010,BOS,50-32,0.61
2009,BOS,62-20,0.756
2008,BOS,66-16,0.805
2007,BOS,24-58,0.293
2006,BOS,33-49,0.402
2005,BOS,45-37,0.549
2004,BOS,36-46,0.439
2003,BOS,44-38,0.537
2002,BOS,49-33,0.598
2001,BOS,36-46,0.439
2000,BOS,35-47,0.427
2020,ATL,20-47,0.299
2019,ATL,29-53,0.354
2018,ATL,24-58,0.293
2017,ATL,43-39,0.524
2016,ATL,48-34,0.585
2015,ATL,60-22,0.732
2014,ATL,38-44,0.463
2013,ATL,44-38,0.537
2012,ATL,40-26,0.606
2011,ATL,44-38,0.537
2010,ATL,53-29,0.646
2009,ATL,47-35,0.573
2008,ATL,37-45,0.451
2007,ATL,30-52,0.366
2006,ATL,26-56,0.317
2005,ATL,13-69,0.159
2004,ATL,28-54,0.341
2003,ATL,35-47,0.427
2002,ATL,33-49,0.402
2001,ATL,25-57,0.305
2000,ATL,28-54,0.341
2020,BKN,48-24,0.692
2019,BKN,42-40,0.667
2018,BKN,28-54,0.486
2017,BKN,20-62,0.244
2016,BKN,21-61,0.256
2015,BKN,38-44,0.463
2014,BKN,44-38,0.537
2013,BKN,49-33,0.598
2012,NJN,22-44,0.333
2011,NJN,24-58,0.293
2010,NJN,12-70,0.146
2009,NJN,34-48,0.415
2008,NJN,34-48,0.415
2007,NJN,41-41,0.5
2006,NJN,49-33,0.598
2005,NJN,42-40,0.512
2004,NJN,47-35,0.573
2003,NJN,49-33,0.598
2002,NJN,52-30,0.634
2001,NJN,26-56,0.317
2000,NJN,31-51,0.378
2020,CHA,23-42,0.354
2019,CHA,39-43,0.476
2018,CHA,36-46,0.439
2017,CHA,36-46,0.439
2016,CHA,48-34,0.585
2015,CHA,33-49,0.402
2014,CHA,43-39,0.524
2013,CHA,21-61,0.256
2012,CHA,07-59,0.106
2011,CHA,34-48,0.415
2010,CHA,44-38,0.537
2009,CHA,35-47,0.427
2008,CHA,32-50,0.39
2007,CHA,33-49,0.402
2006,CHA,26-56,0.317
2005,CHA,18-64,0.22
2002,CHA,44-38,0.537
2001,CHA,46-36,0.561
2000,CHA,49-33,0.598
2020,CHI,22-43,0.338
2019,CHI,22-60,0.268
2018,CHI,27-55,0.329
2017,CHI,41-41,0.500
2016,CHI,42-40,0.512
2015,CHI,50-32,0.61
2014,CHI,48-34,0.585
2013,CHI,45-37,0.549
2012,CHI,50-16,0.758
2011,CHI,62-20,0.756
2010,CHI,41-41,0.5
2009,CHI,41-41,0.5
2008,CHI,33-49,0.402
2007,CHI,49-33,0.598
2006,CHI,41-41,0.5
2005,CHI,47-35,0.573
2004,CHI,23-59,0.28
2003,CHI,30-52,0.366
2002,CHI,21-61,0.256
2001,CHI,15-67,0.183
2000,CHI,17-65,0.207
2020,CLE,19-46,0.292
2019,CLE,19-63,0.232
2018,CLE,50-32,0.610
2017,CLE,51-31,0.622
2016,CLE,57-25,0.695
2015,CLE,53-29,0.646
2014,CLE,33-49,0.402
2013,CLE,24-58,0.293
2012,CLE,21-45,0.318
2011,CLE,19-63,0.232
2010,CLE,61-21,0.744
2009,CLE,66-16,0.805
2008,CLE,45-37,0.549
2007,CLE,50-32,0.61
2006,CLE,50-32,0.61
2005,CLE,42-40,0.512
2004,CLE,35-47,0.427
2003,CLE,17-65,0.207
2002,CLE,29-53,0.354
2001,CLE,30-52,0.366
2000,CLE,32-50,0.39
2020,DAL,43-32,0.573
2019,DAL,33-49,0.402
2018,DAL,24-58,0.293
2017,DAL,33-49,0.402
2016,DAL,42-40,0.512
2015,DAL,50-32,0.61
2014,DAL,49-33,0.598
2013,DAL,41-41,0.5
2012,DAL,36-30,0.545
2011,DAL,57-25,0.695
2010,DAL,55-27,0.671
2009,DAL,50-32,0.61
2008,DAL,51-31,0.622
2007,DAL,67-15,0.817
2006,DAL,60-22,0.732
2005,DAL,58-24,0.707
2004,DAL,52-30,0.634
2003,DAL,60-22,0.732
2002,DAL,57-25,0.695
2001,DAL,53-29,0.646
2000,DAL,40-42,0.488
2020,DEN,46-27,0.630
2019,DEN,54-28,0.659
2018,DEN,46-36,0.561
2017,DEN,40-42,0.488
2016,DEN,33-49,0.402
2015,DEN,30-52,0.366
2014,DEN,36-46,0.439
